fighter_name,bonus_type,event_name,event_date
Morgan Charriere,FIGHT,UFC Fight Night: Lewis vs. Teixeira,
Nate Landwehr,FIGHT,UFC Fight Night: Lewis vs. Teixeira,
Valter Walker,PERF,UFC Fight Night: Lewis vs. Teixeira,
Fatima Kline,PERF,UFC Fight Night: Lewis vs. Teixeira,
Ilia Topuria,PERF,UFC 317: Topuria vs. Oliveira,
Joshua Van,FIGHT,UFC 317: Topuria vs. Oliveira,
Brandon Royval,FIGHT,UFC 317: Topuria vs. Oliveira,
Gregory Rodrigues,PERF,UFC 317: Topuria vs. Oliveira,
Nazim Sadykhov,FIGHT,UFC Fight Night: Hill vs. Rountree Jr.,
Nikolas Motta,FIGHT,UFC Fight Night: Hill vs. Rountree Jr.,
Nazim Sadykhov,PERF,UFC Fight Night: Hill vs. Rountree Jr.,
Kamaru Usman,FIGHT,UFC Fight Night: Usman vs. Buckley,
Joaquin Buckley,FIGHT,UFC Fight Night: Usman vs. Buckley,
Malcolm Wellmaker,PERF,UFC Fight Night: Usman vs. Buckley,
Jose Ochoa,PERF,UFC Fight Night: Usman vs. Buckley,
Merab Dvalishvili,PERF,UFC 316: Dvalishvili vs. O'Malley 2,
Kayla Harrison,PERF,UFC 316: Dvalishvili vs. O'Malley 2,
Kevin Holland,PERF,UFC 316: Dvalishvili vs. O'Malley 2,
JooSang Yoo,PERF,UFC 316: Dvalishvili vs. O'Malley 2,
Ramiz Brahimaj,PERF,UFC Fight Night: Blanchfield vs. Barber,
Jordan Leavitt,PERF,UFC Fight Night: Blanchfield vs. Barber,
Alice Ardelean,FIGHT,UFC Fight Night: Blanchfield vs. Barber,
Rayanne dos Santos,FIGHT,UFC Fight Night: Blanchfield vs. Barber,
Michael Morales,PERF,UFC Fight Night: Burns vs. Morales,
Melquizael Costa,FIGHT,UFC Fight Night: Burns vs. Morales,
Julian Erosa,FIGHT,UFC Fight Night: Burns vs. Morales,
Denise Gomes,PERF,UFC Fight Night: Burns vs. Morales,
Jack Della Maddalena,FIGHT,UFC 315: Muhammad vs. Della Maddalena,
Belal Muhammad,FIGHT,UFC 315: Muhammad vs. Della Maddalena,
Jasmine Jasudavicius,PERF,UFC 315: Muhammad vs. Della Maddalena,
Marc-Andre Barriault,PERF,UFC 315: Muhammad vs. Della Maddalena,
Cory Sandhagen,PERF,UFC Fight Night: Sandhagen vs. Figueiredo,
Reinier de Ridder,PERF,UFC Fight Night: Sandhagen vs. Figueiredo,
Azamat Bekoev,PERF,UFC Fight Night: Sandhagen vs. Figueiredo,
Quang Le,PERF,UFC Fight Night: Sandhagen vs. Figueiredo,
Zhang Mingyang,PERF,UFC Fight Night: Machado Garry vs. Prates,
Randy Brown,FIGHT,UFC Fight Night: Machado Garry vs. Prates,
Nicolas Dalby,FIGHT,UFC Fight Night: Machado Garry vs. Prates,
Malcolm Wellmaker,PERF,UFC Fight Night: Machado Garry vs. Prates,
Alexander Volkanovski,FIGHT,UFC 314: Volkanovski vs. Lopes,
Diego Lopes,FIGHT,UFC 314: Volkanovski vs. Lopes,
Paddy Pimblett,PERF,UFC 314: Volkanovski vs. Lopes,
Jean Silva,PERF,UFC 314: Volkanovski vs. Lopes,
ChangHo Lee,PERF,UFC Fight Night: Emmett vs. Murphy,
Ode Osbourne,PERF,UFC Fight Night: Emmett vs. Murphy,
Dione Barbosa,PERF,UFC Fight Night: Emmett vs. Murphy,
Rhys McKee,PERF,UFC Fight Night: Emmett vs. Murphy,
Manuel Torres,PERF,UFC Fight Night: Moreno vs. Erceg,
Edgar Chairez,PERF,UFC Fight Night: Moreno vs. Erceg,
David Martinez,PERF,UFC Fight Night: Moreno vs. Erceg,
Ateba Gautier,PERF,UFC Fight Night: Moreno vs. Erceg,
Sean Brady,PERF,UFC Fight Night: Edwards vs. Brady,
Kevin Holland,PERF,UFC Fight Night: Edwards vs. Brady,
Alexia Thainara,PERF,UFC Fight Night: Edwards vs. Brady,
Shauna Bannon,PERF,UFC Fight Night: Edwards vs. Brady,
Carlos Vera,PERF,UFC Fight Night: Vettori vs. Dolidze 2,
Andre Lima,PERF,UFC Fight Night: Vettori vs. Dolidze 2,
Priscila Cachoeira,PERF,UFC Fight Night: Vettori vs. Dolidze 2,
Carli Judice,PERF,UFC Fight Night: Vettori vs. Dolidze 2,
