fighter_name,bonus_type,event_name,event_date
Vitor Petrino,PERF,UFC Fight Night: Almeida vs. Lewis,
Islam Makhachev,PERF,UFC 294: Makhachev vs. Volkanovski 2,
Ikram Aliskerov,PERF,UFC 294: Makhachev vs. Volkanovski 2,
Said Nurmagomedov,PERF,UFC 294: Makhachev vs. Volkanovski 2,
Muhammad Mokaev,PERF,UFC 294: Makhachev vs. Volkanovski 2,
Edson Barboza,FIGHT,UFC Fight Night: Yusuff vs. Barboza,
Sodiq Yusuff,FIGHT,UFC Fight Night: Yusuff vs. Barboza,
Jonathan Martinez,PERF,UFC Fight Night: Yusuff vs. Barboza,
Michel Pereira,PERF,UFC Fight Night: Yusuff vs. Barboza,
King Green,PERF,UFC Fight Night: Dawson vs. Green,
Joe Pyfer,PERF,UFC Fight Night: Dawson vs. Green,
Drew Dober,PERF,UFC Fight Night: Dawson vs. Green,
Nate Maness,PERF,UFC Fight Night: Dawson vs. Green,
Marina Rodriguez,PERF,UFC Fight Night: Fiziev vs. Gamrot,
Charles Jourdain,PERF,UFC Fight Night: Fiziev vs. Gamrot,
Tim Means,FIGHT,UFC Fight Night: Fiziev vs. Gamrot,
Andre Fialho,FIGHT,UFC Fight Night: Fiziev vs. Gamrot,
Raul Rosas Jr.,PERF,UFC Fight Night: Grasso vs. Shevchenko 2,
Daniel Zellhuber,PERF,UFC Fight Night: Grasso vs. Shevchenko 2,
Loopy Godinez,PERF,UFC Fight Night: Grasso vs. Shevchenko 2,
Roman Kopylov,PERF,UFC Fight Night: Grasso vs. Shevchenko 2,
Charlie Campbell,PERF,UFC Fight Night: Grasso vs. Shevchenko 2,
Sean Strickland,PERF,UFC 293: Adesanya vs. Strickland,
Manel Kape,FIGHT,UFC 293: Adesanya vs. Strickland,
Felipe dos Santos,FIGHT,UFC 293: Adesanya vs. Strickland,
Justin Tafa,PERF,UFC 293: Adesanya vs. Strickland,
Ciryl Gane,PERF,UFC Fight Night: Gane vs. Spivac,
Benoit Saint Denis,FIGHT,UFC Fight Night: Gane vs. Spivac,
Thiago Moises,FIGHT,UFC Fight Night: Gane vs. Spivac,
Morgan Charriere,PERF,UFC Fight Night: Gane vs. Spivac,
Max Holloway,FIGHT,UFC Fight Night: Holloway vs. The Korean Zombie,
Chan Sung Jung,FIGHT,UFC Fight Night: Holloway vs. The Korean Zombie,
Junior Tafa,PERF,UFC Fight Night: Holloway vs. The Korean Zombie,
Michal Oleksiejczuk,PERF,UFC Fight Night: Holloway vs. The Korean Zombie,
Sean O'Malley,PERF,UFC 292: Sterling vs. O'Malley,
Zhang Weili,PERF,UFC 292: Sterling vs. O'Malley,
Brad Katona,FIGHT,UFC 292: Sterling vs. O'Malley,
Cody Gibson,FIGHT,UFC 292: Sterling vs. O'Malley,
Khalil Rountree Jr.,PERF,UFC Fight Night: Luque vs. Dos Anjos,
Iasmin Lucindo,PERF,UFC Fight Night: Luque vs. Dos Anjos,
Marcus McGhee,PERF,UFC Fight Night: Luque vs. Dos Anjos,
Da'Mon Blackshear,PERF,UFC Fight Night: Luque vs. Dos Anjos,
Tatiana Suarez,PERF,UFC Fight Night: Sandhagen vs. Font,
Dustin Jacoby,PERF,UFC Fight Night: Sandhagen vs. Font,
Diego Lopes,PERF,UFC Fight Night: Sandhagen vs. Font,
Carlston Harris,PERF,UFC Fight Night: Sandhagen vs. Font,
Asu Almabayev,PERF,UFC Fight Night: Sandhagen vs. Font,
Justin Gaethje,PERF,UFC 291: Poirier vs. Gaethje 2,
Derrick Lewis,PERF,UFC 291: Poirier vs. Gaethje 2,
King Green,PERF,UFC 291: Poirier vs. Gaethje 2,
Kevin Holland,PERF,UFC 291: Poirier vs. Gaethje 2,
Tom Aspinall,PERF,UFC Fight Night: Aspinall vs. Tybura,
Paul Craig,PERF,UFC Fight Night: Aspinall vs. Tybura,
Jonny Parsons,FIGHT,UFC Fight Night: Aspinall vs. Tybura,
Danny Roberts,FIGHT,UFC Fight Night: Aspinall vs. Tybura,
Holly Holm,PERF,UFC Fight Night: Holm vs. Bueno Silva,
Jack Della Maddalena,FIGHT,UFC Fight Night: Holm vs. Bueno Silva,
Bassil Hafez,FIGHT,UFC Fight Night: Holm vs. Bueno Silva,
Francisco Prado,PERF,UFC Fight Night: Holm vs. Bueno Silva,
Alexandre Pantoja,FIGHT,UFC 290: Volkanovski vs. Rodriguez,
Brandon Moreno,FIGHT,UFC 290: Volkanovski vs. Rodriguez,
Dricus Du Plessis,PERF,UFC 290: Volkanovski vs. Rodriguez,
Denise Gomes,PERF,UFC 290: Volkanovski vs. Rodriguez,
Sean Strickland,PERF,UFC Fight Night: Strickland vs. Magomedov,
Nursulton Ruziboev,PERF,UFC Fight Night: Strickland vs. Magomedov,
Elves Brener,FIGHT,UFC Fight Night: Strickland vs. Magomedov,
Guram Kutateladze,FIGHT,UFC Fight Night: Strickland vs. Magomedov,
Ilia Topuria,FIGHT,UFC Fight Night: Emmett vs. Topuria,
Josh Emmett,FIGHT,UFC Fight Night: Emmett vs. Topuria,
Maycee Barber,PERF,UFC Fight Night: Emmett vs. Topuria,
David Onama,PERF,UFC Fight Night: Emmett vs. Topuria,
Jared Cannonier,FIGHT,UFC Fight Night: Vettori vs. Cannonier,
Marvin Vettori,FIGHT,UFC Fight Night: Vettori vs. Cannonier,
Manuel Torres,PERF,UFC Fight Night: Vettori vs. Cannonier,
Alessandro Costa,PERF,UFC Fight Night: Vettori vs. Cannonier,
Charles Oliveira,PERF,UFC 289: Nunes vs. Aldana,
Mike Malott,PERF,UFC 289: Nunes vs. Aldana,
Marc-Andre Barriault,FIGHT,UFC 289: Nunes vs. Aldana,
Eryk Anders,FIGHT,UFC 289: Nunes vs. Aldana,
Steve Erceg,PERF,UFC 289: Nunes vs. Aldana,
Alex Caceres,FIGHT,UFC Fight Night: Kara-France vs. Albazi,
Daniel Pineda,FIGHT,UFC Fight Night: Kara-France vs. Albazi,
Jim Miller,PERF,UFC Fight Night: Kara-France vs. Albazi,
Muhammad Naimov,PERF,UFC Fight Night: Kara-France vs. Albazi,
Mackenzie Dern,FIGHT,UFC Fight Night: Dern vs. Hill,
Angela Hill,FIGHT,UFC Fight Night: Dern vs. Hill,
Diego Ferreira,PERF,UFC Fight Night: Dern vs. Hill,
Viacheslav Borshchev,PERF,UFC Fight Night: Dern vs. Hill,
Jailton Almeida,PERF,UFC Fight Night: Rozenstruik vs. Almeida,
Ian Machado Garry,PERF,UFC Fight Night: Rozenstruik vs. Almeida,
Carlos Ulberg,PERF,UFC Fight Night: Rozenstruik vs. Almeida,
Matt Brown,PERF,UFC Fight Night: Rozenstruik vs. Almeida,
Yan Xiaonan,PERF,UFC 288: Sterling vs. Cejudo,
Movsar Evloev,FIGHT,UFC 288: Sterling vs. Cejudo,
Diego Lopes,FIGHT,UFC 288: Sterling vs. Cejudo,
Matt Frevola,PERF,UFC 288: Sterling vs. Cejudo,
Song Yadong,PERF,UFC Fight Night: Song vs. Simon,
Caio Borralho,PERF,UFC Fight Night: Song vs. Simon,
Rodolfo Vieira,PERF,UFC Fight Night: Song vs. Simon,
Marcus McGhee,PERF,UFC Fight Night: Song vs. Simon,
Sergei Pavlovich,PERF,UFC Fight Night: Pavlovich vs. Blaydes,
Bruno Silva,PERF,UFC Fight Night: Pavlovich vs. Blaydes,
Christos Giagos,PERF,UFC Fight Night: Pavlovich vs. Blaydes,
Montel Jackson,PERF,UFC Fight Night: Pavlovich vs. Blaydes,
Edson Barboza,PERF,UFC Fight Night: Holloway vs. Allen,
Bill Algeo,FIGHT,UFC Fight Night: Holloway vs. Allen,
TJ Brown,FIGHT,UFC Fight Night: Holloway vs. Allen,
Brandon Royval,PERF,UFC Fight Night: Holloway vs. Allen,
Gillian Robertson,PERF,UFC Fight Night: Holloway vs. Allen,
Israel Adesanya,PERF,UFC 287: Pereira vs. Adesanya 2,
Rob Font,PERF,UFC 287: Pereira vs. Adesanya 2,
Kelvin Gastelum,FIGHT,UFC 287: Pereira vs. Adesanya 2,
Chris Curtis,FIGHT,UFC 287: Pereira vs. Adesanya 2,
Nate Landwehr,PERF,UFC Fight Night: Vera vs. Sandhagen,
Daniel Pineda,PERF,UFC Fight Night: Vera vs. Sandhagen,
CJ Vergara,FIGHT,UFC Fight Night: Vera vs. Sandhagen,
Daniel Lacerda,FIGHT,UFC Fight Night: Vera vs. Sandhagen,
Justin Gaethje,FIGHT,UFC 286: Edwards vs. Usman 3,
Rafael Fiziev,FIGHT,UFC 286: Edwards vs. Usman 3,
Gunnar Nelson,PERF,UFC 286: Edwards vs. Usman 3,
Jake Hadley,PERF,UFC 286: Edwards vs. Usman 3,
Vitor Petrino,FIGHT,UFC Fight Night: Yan vs. Dvalishvili,
Anton Turkalj,FIGHT,UFC Fight Night: Yan vs. Dvalishvili,
Davey Grant,PERF,UFC Fight Night: Yan vs. Dvalishvili,
Bruno Silva,PERF,UFC Fight Night: Yan vs. Dvalishvili,
Jon Jones,PERF,UFC 285: Jones vs. Gane,
Alexa Grasso,PERF,UFC 285: Jones vs. Gane,
Shavkat Rakhmonov,FIGHT,UFC 285: Jones vs. Gane,
Geoff Neal,FIGHT,UFC 285: Jones vs. Gane,
Bo Nickal,PERF,UFC 285: Jones vs. Gane,
Brendan Allen,PERF,UFC Fight Night: Muniz vs. Allen,
Tatiana Suarez,PERF,UFC Fight Night: Muniz vs. Allen,
Mike Malott,PERF,UFC Fight Night: Muniz vs. Allen,
Trevor Peek,PERF,UFC Fight Night: Muniz vs. Allen,
Jordan Leavitt,PERF,UFC Fight Night: Muniz vs. Allen,
Joe Solecki,PERF,UFC Fight Night: Muniz vs. Allen,
Erin Blanchfield,PERF,UFC Fight Night: Andrade vs. Blanchfield,
Nazim Sadykhov,FIGHT,UFC Fight Night: Andrade vs. Blanchfield,
Evan Elder,FIGHT,UFC Fight Night: Andrade vs. Blanchfield,
Mayra Bueno Silva,PERF,UFC Fight Night: Andrade vs. Blanchfield,
Islam Makhachev,FIGHT,UFC 284: Makhachev vs. Volkanovski,
Alexander Volkanovski,FIGHT,UFC 284: Makhachev vs. Volkanovski,
Yair Rodriguez,PERF,UFC 284: Makhachev vs. Volkanovski,
Jack Della Maddalena,PERF,UFC 284: Makhachev vs. Volkanovski,
Serghei Spivac,PERF,UFC Fight Night: Lewis vs. Spivac,
Anshul Jubli,PERF,UFC Fight Night: Lewis vs. Spivac,
Rinya Nakamura,PERF,UFC Fight Night: Lewis vs. Spivac,
Tatsuro Taira,PERF,UFC Fight Night: Lewis vs. Spivac,
Jamahal Hill,FIGHT,UFC 283: Teixeira vs. Hill,
Glover Teixeira,FIGHT,UFC 283: Teixeira vs. Hill,
Jailton Almeida,PERF,UFC 283: Teixeira vs. Hill,
Ismael Bonfim,PERF,UFC 283: Teixeira vs. Hill,
Dan Ige,PERF,UFC Fight Night: Strickland vs. Imavov,
Roman Kopylov,PERF,UFC Fight Night: Strickland vs. Imavov,
Umar Nurmagomedov,PERF,UFC Fight Night: Strickland vs. Imavov,
Allan Nascimento,PERF,UFC Fight Night: Strickland vs. Imavov,
Alex Caceres,PERF,UFC Fight Night: Cannonier vs. Strickland,
Drew Dober,FIGHT,UFC Fight Night: Cannonier vs. Strickland,
King Green,FIGHT,UFC Fight Night: Cannonier vs. Strickland,
Michal Oleksiejczuk,PERF,UFC Fight Night: Cannonier vs. Strickland,
Santiago Ponzinibbio,PERF,UFC 282: Blachowicz vs. Ankalaev,
Dricus Du Plessis,FIGHT,UFC 282: Blachowicz vs. Ankalaev,
Darren Till,FIGHT,UFC 282: Blachowicz vs. Ankalaev,
Ilia Topuria,PERF,UFC 282: Blachowicz vs. Ankalaev,
Raul Rosas Jr.,PERF,UFC 282: Blachowicz vs. Ankalaev,
Jairzinho Rozenstruik,PERF,UFC 282: Blachowicz vs. Ankalaev,
Edmen Shahbazyan,PERF,UFC 282: Blachowicz vs. Ankalaev,
Chris Curtis,PERF,UFC 282: Blachowicz vs. Ankalaev,
Billy Quarantillo,PERF,UFC 282: Blachowicz vs. Ankalaev,
TJ Brown,PERF,UFC 282: Blachowicz vs. Ankalaev,
Cameron Saaiman,PERF,UFC 282: Blachowicz vs. Ankalaev,
Stephen Thompson,FIGHT,UFC Fight Night: Thompson vs. Holland,
Kevin Holland,FIGHT,UFC Fight Night: Thompson vs. Holland,
Sergei Pavlovich,PERF,UFC Fight Night: Thompson vs. Holland,
Roman Dolidze,PERF,UFC Fight Night: Thompson vs. Holland,
Kennedy Nzechukwu,PERF,UFC Fight Night: Nzechukwu vs. Cutelaba,
Muslim Salikhov,PERF,UFC Fight Night: Nzechukwu vs. Cutelaba,
Jack Della Maddalena,PERF,UFC Fight Night: Nzechukwu vs. Cutelaba,
Natalia Silva,PERF,UFC Fight Night: Nzechukwu vs. Cutelaba,
Alex Pereira,PERF,UFC 281: Adesanya vs. Pereira,
Zhang Weili,PERF,UFC 281: Adesanya vs. Pereira,
Dustin Poirier,FIGHT,UFC 281: Adesanya vs. Pereira,
Michael Chandler,FIGHT,UFC 281: Adesanya vs. Pereira,
Neil Magny,PERF,UFC Fight Night: Rodriguez vs. Lemos,
Mario Bautista,PERF,UFC Fight Night: Rodriguez vs. Lemos,
Polyana Viana,PERF,UFC Fight Night: Rodriguez vs. Lemos,
Tamires Vidal,PERF,UFC Fight Night: Rodriguez vs. Lemos,
Tresean Gore,PERF,UFC Fight Night: Kattar vs. Allen,
Roman Dolidze,PERF,UFC Fight Night: Kattar vs. Allen,
Steve Garcia,PERF,UFC Fight Night: Kattar vs. Allen,
Christian Rodriguez,PERF,UFC Fight Night: Kattar vs. Allen,
Islam Makhachev,PERF,UFC 280: Oliveira vs. Makhachev,
Sean O'Malley,FIGHT,UFC 280: Oliveira vs. Makhachev,
Petr Yan,FIGHT,UFC 280: Oliveira vs. Makhachev,
Belal Muhammad,PERF,UFC 280: Oliveira vs. Makhachev,
Jonathan Martinez,PERF,UFC Fight Night: Grasso vs. Araujo,
Dusko Todorovic,FIGHT,UFC Fight Night: Grasso vs. Araujo,
Jordan Wright,FIGHT,UFC Fight Night: Grasso vs. Araujo,
Tatsuro Taira,PERF,UFC Fight Night: Grasso vs. Araujo,
Daniel Santos,FIGHT,UFC Fight Night: Dern vs. Yan,
John Castaneda,FIGHT,UFC Fight Night: Dern vs. Yan,
Joaquim Silva,PERF,UFC Fight Night: Dern vs. Yan,
Brendan Allen,PERF,UFC Fight Night: Dern vs. Yan,
Chelsea Chandler,PERF,UFC Fight Night: Dern vs. Yan,
Guido Cannetti,PERF,UFC Fight Night: Dern vs. Yan,
Gregory Rodrigues,FIGHT,UFC Fight Night: Sandhagen vs. Song,
Chidi Njokuani,FIGHT,UFC Fight Night: Sandhagen vs. Song,
Joe Pyfer,PERF,UFC Fight Night: Sandhagen vs. Song,
Damon Jackson,PERF,UFC Fight Night: Sandhagen vs. Song,
Nate Diaz,PERF,UFC 279: Diaz vs. Ferguson,
Irene Aldana,PERF,UFC 279: Diaz vs. Ferguson,
Johnny Walker,PERF,UFC 279: Diaz vs. Ferguson,
Jailton Almeida,PERF,UFC 279: Diaz vs. Ferguson,
Ciryl Gane,FIGHT,UFC Fight Night: Gane vs. Tuivasa,
Tai Tuivasa,FIGHT,UFC Fight Night: Gane vs. Tuivasa,
Abus Magomedov,PERF,UFC Fight Night: Gane vs. Tuivasa,
Benoit Saint Denis,PERF,UFC Fight Night: Gane vs. Tuivasa,
Leon Edwards,PERF,UFC 278: Usman vs. Edwards,
Paulo Costa,FIGHT,UFC 278: Usman vs. Edwards,
Luke Rockhold,FIGHT,UFC 278: Usman vs. Edwards,
Victor Altamirano,PERF,UFC 278: Usman vs. Edwards,
Marlon Vera,PERF,UFC Fight Night: Vera vs. Cruz,
Nate Landwehr,FIGHT,UFC Fight Night: Vera vs. Cruz,
David Onama,FIGHT,UFC Fight Night: Vera vs. Cruz,
Tyson Nam,PERF,UFC Fight Night: Vera vs. Cruz,
Jamahal Hill,FIGHT,UFC Fight Night: Santos vs. Hill,
Thiago Santos,FIGHT,UFC Fight Night: Santos vs. Hill,
Geoff Neal,PERF,UFC Fight Night: Santos vs. Hill,
Mohammed Usman,PERF,UFC Fight Night: Santos vs. Hill,
Bryan Battle,PERF,UFC Fight Night: Santos vs. Hill,
Brandon Moreno,FIGHT,UFC 277: Pena vs. Nunes 2,
Kai Kara-France,FIGHT,UFC 277: Pena vs. Nunes 2,
Alexandre Pantoja,PERF,UFC 277: Pena vs. Nunes 2,
Drew Dober,PERF,UFC 277: Pena vs. Nunes 2,
Paddy Pimblett,PERF,UFC Fight Night: Blaydes vs. Aspinall,
Nikita Krylov,PERF,UFC Fight Night: Blaydes vs. Aspinall,
Molly McCann,PERF,UFC Fight Night: Blaydes vs. Aspinall,
Jonathan Pearce,PERF,UFC Fight Night: Blaydes vs. Aspinall,
Amanda Lemos,PERF,UFC Fight Night: Ortega vs. Rodriguez,
Li Jingliang,PERF,UFC Fight Night: Ortega vs. Rodriguez,
Matt Schnell,FIGHT,UFC Fight Night: Ortega vs. Rodriguez,
Sumudaerji,FIGHT,UFC Fight Night: Ortega vs. Rodriguez,
Punahele Soriano,PERF,UFC Fight Night: Ortega vs. Rodriguez,
Ricky Simon,PERF,UFC Fight Night: Ortega vs. Rodriguez,
Bill Algeo,PERF,UFC Fight Night: Ortega vs. Rodriguez,
Dustin Jacoby,PERF,UFC Fight Night: Ortega vs. Rodriguez,
Rafael Fiziev,PERF,UFC Fight Night: Dos Anjos vs. Fiziev,
Chase Sherman,PERF,UFC Fight Night: Dos Anjos vs. Fiziev,
Jamie Mullarkey,FIGHT,UFC Fight Night: Dos Anjos vs. Fiziev,
Michael Johnson,FIGHT,UFC Fight Night: Dos Anjos vs. Fiziev,
Alex Pereira,PERF,UFC 276: Adesanya vs. Cannonier,
Bryan Barberena,FIGHT,UFC 276: Adesanya vs. Cannonier,
Robbie Lawler,FIGHT,UFC 276: Adesanya vs. Cannonier,
Jalin Turner,PERF,UFC 276: Adesanya vs. Cannonier,
Julija Stoliarenko,PERF,UFC 276: Adesanya vs. Cannonier,
Mateusz Gamrot,FIGHT,UFC Fight Night: Tsarukyan vs. Gamrot,
Arman Tsarukyan,FIGHT,UFC Fight Night: Tsarukyan vs. Gamrot,
Shavkat Rakhmonov,PERF,UFC Fight Night: Tsarukyan vs. Gamrot,
Josh Parisian,PERF,UFC Fight Night: Tsarukyan vs. Gamrot,
Thiago Moises,PERF,UFC Fight Night: Tsarukyan vs. Gamrot,
Josh Emmett,FIGHT,UFC Fight Night: Kattar vs. Emmett,
Calvin Kattar,FIGHT,UFC Fight Night: Kattar vs. Emmett,
Kevin Holland,PERF,UFC Fight Night: Kattar vs. Emmett,
Joaquin Buckley,PERF,UFC Fight Night: Kattar vs. Emmett,
Gregory Rodrigues,PERF,UFC Fight Night: Kattar vs. Emmett,
Adrian Yanez,PERF,UFC Fight Night: Kattar vs. Emmett,
Jeremiah Wells,PERF,UFC Fight Night: Kattar vs. Emmett,
Ricardo Ramos,PERF,UFC Fight Night: Kattar vs. Emmett,
Cody Stamann,PERF,UFC Fight Night: Kattar vs. Emmett,
Phil Hawes,PERF,UFC Fight Night: Kattar vs. Emmett,
Roman Dolidze,PERF,UFC Fight Night: Kattar vs. Emmett,
Jiri Prochazka,FIGHT,UFC 275: Teixeira vs. Prochazka,
Glover Teixeira,FIGHT,UFC 275: Teixeira vs. Prochazka,
Zhang Weili,PERF,UFC 275: Teixeira vs. Prochazka,
Jake Matthews,PERF,UFC 275: Teixeira vs. Prochazka,
Jack Della Maddalena,PERF,UFC 275: Teixeira vs. Prochazka,
Maheshate,PERF,UFC 275: Teixeira vs. Prochazka,
Silvana Gomez Juarez,PERF,UFC 275: Teixeira vs. Prochazka,
Lucas Almeida,FIGHT,UFC Fight Night: Volkov vs. Rozenstruik,
Michael Trizano,FIGHT,UFC Fight Night: Volkov vs. Rozenstruik,
Karine Silva,PERF,UFC Fight Night: Volkov vs. Rozenstruik,
Ode Osbourne,PERF,UFC Fight Night: Volkov vs. Rozenstruik,
Michel Pereira,FIGHT,UFC Fight Night: Holm vs. Vieira,
Santiago Ponzinibbio,FIGHT,UFC Fight Night: Holm vs. Vieira,
Chidi Njokuani,PERF,UFC Fight Night: Holm vs. Vieira,
Chase Hooper,PERF,UFC Fight Night: Holm vs. Vieira,
Ryan Spann,PERF,UFC Fight Night: Blachowicz vs. Rakic,
Katlyn Cerminara,FIGHT,UFC Fight Night: Blachowicz vs. Rakic,
Amanda Ribas,FIGHT,UFC Fight Night: Blachowicz vs. Rakic,
Manuel Torres,PERF,UFC Fight Night: Blachowicz vs. Rakic,
Michael Chandler,PERF,UFC 274: Oliveira vs. Gaethje,
Brandon Royval,FIGHT,UFC 274: Oliveira vs. Gaethje,
Matt Schnell,FIGHT,UFC 274: Oliveira vs. Gaethje,
Andre Fialho,PERF,UFC 274: Oliveira vs. Gaethje,
Marlon Vera,FIGHT,UFC Fight Night: Font vs. Vera,
Rob Font,FIGHT,UFC Fight Night: Font vs. Vera,
Joanderson Brito,PERF,UFC Fight Night: Font vs. Vera,
Francisco Figueiredo,PERF,UFC Fight Night: Font vs. Vera,
Jessica Andrade,PERF,UFC Fight Night: Lemos vs. Andrade,
Claudio Puelles,PERF,UFC Fight Night: Lemos vs. Andrade,
Sergey Khandozhko,FIGHT,UFC Fight Night: Lemos vs. Andrade,
Dwight Grant,FIGHT,UFC Fight Night: Lemos vs. Andrade,
Andre Fialho,PERF,UFC Fight Night: Luque vs. Muhammad,
Mayra Bueno Silva,FIGHT,UFC Fight Night: Luque vs. Muhammad,
Wu Yanan,FIGHT,UFC Fight Night: Luque vs. Muhammad,
Drakkar Klose,PERF,UFC Fight Night: Luque vs. Muhammad,
Alexander Volkanovski,PERF,UFC 273: Volkanovski vs. The Korean Zombie,
Khamzat Chimaev,FIGHT,UFC 273: Volkanovski vs. The Korean Zombie,
Gilbert Burns,FIGHT,UFC 273: Volkanovski vs. The Korean Zombie,
Aleksei Oleinik,PERF,UFC 273: Volkanovski vs. The Korean Zombie,
Curtis Blaydes,PERF,UFC Fight Night: Blaydes vs. Daukaus,
Bryan Barberena,FIGHT,UFC Fight Night: Blaydes vs. Daukaus,
Matt Brown,FIGHT,UFC Fight Night: Blaydes vs. Daukaus,
Chris Gutierrez,PERF,UFC Fight Night: Blaydes vs. Daukaus,
Tom Aspinall,PERF,UFC Fight Night: Volkov vs. Aspinall,
Arnold Allen,PERF,UFC Fight Night: Volkov vs. Aspinall,
Paddy Pimblett,PERF,UFC Fight Night: Volkov vs. Aspinall,
Molly McCann,PERF,UFC Fight Night: Volkov vs. Aspinall,
Ilia Topuria,PERF,UFC Fight Night: Volkov vs. Aspinall,
Makwan Amirkhani,PERF,UFC Fight Night: Volkov vs. Aspinall,
Sergei Pavlovich,PERF,UFC Fight Night: Volkov vs. Aspinall,
Paul Craig,PERF,UFC Fight Night: Volkov vs. Aspinall,
Muhammad Mokaev,PERF,UFC Fight Night: Volkov vs. Aspinall,
Song Yadong,PERF,UFC Fight Night: Santos vs. Ankalaev,
Khalil Rountree Jr.,PERF,UFC Fight Night: Santos vs. Ankalaev,
Cody Brundage,PERF,UFC Fight Night: Santos vs. Ankalaev,
Azamat Murzakanov,PERF,UFC Fight Night: Santos vs. Ankalaev,
Colby Covington,FIGHT,UFC 272: Covington vs. Masvidal,
Jorge Masvidal,FIGHT,UFC 272: Covington vs. Masvidal,
Kevin Holland,PERF,UFC 272: Covington vs. Masvidal,
Maryna Moroz,PERF,UFC 272: Covington vs. Masvidal,
Wellington Turman,PERF,UFC Fight Night: Makhachev vs. Green,
Priscila Cachoeira,FIGHT,UFC Fight Night: Makhachev vs. Green,
Ji Yeon Kim,FIGHT,UFC Fight Night: Makhachev vs. Green,
Arman Tsarukyan,PERF,UFC Fight Night: Makhachev vs. Green,
Jamahal Hill,PERF,UFC Fight Night: Walker vs. Hill,
Kyle Daukaus,PERF,UFC Fight Night: Walker vs. Hill,
David Onama,PERF,UFC Fight Night: Walker vs. Hill,
Stephanie Egger,PERF,UFC Fight Night: Walker vs. Hill,
Tai Tuivasa,PERF,UFC 271: Adesanya vs. Whittaker 2,
Jared Cannonier,PERF,UFC 271: Adesanya vs. Whittaker 2,
Douglas Silva de Andrade,FIGHT,UFC 271: Adesanya vs. Whittaker 2,
Sergey Morozov,FIGHT,UFC 271: Adesanya vs. Whittaker 2,
Shavkat Rakhmonov,PERF,UFC Fight Night: Hermansson vs. Strickland,
Julian Erosa,FIGHT,UFC Fight Night: Hermansson vs. Strickland,
Steven Peterson,FIGHT,UFC Fight Night: Hermansson vs. Strickland,
Chidi Njokuani,PERF,UFC Fight Night: Hermansson vs. Strickland,
Deiveson Figueiredo,FIGHT,UFC 270: Ngannou vs. Gane,
Brandon Moreno,FIGHT,UFC 270: Ngannou vs. Gane,
Said Nurmagomedov,PERF,UFC 270: Ngannou vs. Gane,
Vanessa Demopoulos,PERF,UFC 270: Ngannou vs. Gane,
Calvin Kattar,FIGHT,UFC Fight Night: Kattar vs. Chikadze,
Giga Chikadze,FIGHT,UFC Fight Night: Kattar vs. Chikadze,
Jake Collier,PERF,UFC Fight Night: Kattar vs. Chikadze,
Viacheslav Borshchev,PERF,UFC Fight Night: Kattar vs. Chikadze,
Amanda Lemos,FIGHT,UFC Fight Night: Lewis vs. Daukaus,
Angela Hill,FIGHT,UFC Fight Night: Lewis vs. Daukaus,
Cub Swanson,PERF,UFC Fight Night: Lewis vs. Daukaus,
Melissa Gatto,PERF,UFC Fight Night: Lewis vs. Daukaus,
Charles Oliveira,PERF,UFC 269: Oliveira vs. Poirier,
Julianna Pena,PERF,UFC 269: Oliveira vs. Poirier,
Kai Kara-France,PERF,UFC 269: Oliveira vs. Poirier,
Sean O'Malley,PERF,UFC 269: Oliveira vs. Poirier,
Dominick Cruz,FIGHT,UFC 269: Oliveira vs. Poirier,
Pedro Munhoz,FIGHT,UFC 269: Oliveira vs. Poirier,
Tai Tuivasa,PERF,UFC 269: Oliveira vs. Poirier,
Bruno Silva,PERF,UFC 269: Oliveira vs. Poirier,
Rafael Fiziev,PERF,UFC Fight Night: Font vs. Aldo,
Jamahal Hill,PERF,UFC Fight Night: Font vs. Aldo,
Clay Guida,PERF,UFC Fight Night: Font vs. Aldo,
Chris Curtis,PERF,UFC Fight Night: Font vs. Aldo,
Cheyanne Vlismas,FIGHT,UFC Fight Night: Font vs. Aldo,
Mallory Martin,FIGHT,UFC Fight Night: Font vs. Aldo,
Taila Santos,PERF,UFC Fight Night: Vieira vs. Tate,
Adrian Yanez,FIGHT,UFC Fight Night: Vieira vs. Tate,
Davey Grant,FIGHT,UFC Fight Night: Vieira vs. Tate,
Max Holloway,FIGHT,UFC Fight Night: Holloway vs. Rodriguez,
Yair Rodriguez,FIGHT,UFC Fight Night: Holloway vs. Rodriguez,
Khaos Williams,PERF,UFC Fight Night: Holloway vs. Rodriguez,
Andrea Lee,PERF,UFC Fight Night: Holloway vs. Rodriguez,
Marlon Vera,PERF,UFC 268: Usman vs. Covington 2,
Justin Gaethje,FIGHT,UFC 268: Usman vs. Covington 2,
Michael Chandler,FIGHT,UFC 268: Usman vs. Covington 2,
Alex Pereira,PERF,UFC 268: Usman vs. Covington 2,
King Green,PERF,UFC 268: Usman vs. Covington 2,
Chris Barnett,PERF,UFC 268: Usman vs. Covington 2,
Glover Teixeira,PERF,UFC 267: Blachowicz vs. Teixeira,
Petr Yan,FIGHT,UFC 267: Blachowicz vs. Teixeira,
Cory Sandhagen,FIGHT,UFC 267: Blachowicz vs. Teixeira,
Khamzat Chimaev,PERF,UFC 267: Blachowicz vs. Teixeira,
Marvin Vettori,PERF,UFC Fight Night: Costa vs. Vettori,
Alex Caceres,PERF,UFC Fight Night: Costa vs. Vettori,
